Platform,Product Name,Seller,Price,Delivery Fees,Delivery Date,Product State,Seller Rating,Timestamp
E.Leclerc,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 512 Go Noir",GPASPLUS,"1645,48 €",Offerte,Prévue entre le 27/03/25 et le 28/03/25,NEUF,0,25/03/2025 23:49:21
E.Leclerc,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 512 Go Noir",La Boutique du Net,"1815,09 €",Offerte,Prévue entre le 27/03/25 et le 28/03/25,NEUF,0,25/03/2025 23:49:21
E.Leclerc,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 512 Go Noir",Big Hub,"1935,25 €",Offerte,Prévue entre le 27/03/25 et le 28/03/25,NEUF,0,25/03/2025 23:49:21
------------------------------------------------------------------------------------------------------------------------------------
E.Leclerc,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 256 Go Noir",E.Leclerc,"1199,00 €",Offerte,Prévue entre le 27/03/25 et le 28/03/25,NEUF,0,25/03/2025 23:49:32
E.Leclerc,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 256 Go Noir",Stock e-commerce,"1211,07 €",Offerte,Prévue entre le 27/03/25 et le 28/03/25,NEUF,0,25/03/2025 23:49:32
E.Leclerc,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 256 Go Noir",Espace-Disque,"1308,45 €",Offerte,Prévue entre le 27/03/25 et le 28/03/25,NEUF,0,25/03/2025 23:49:32
E.Leclerc,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 256 Go Noir",GPASPLUS,"1339,38 €",Offerte,Prévue entre le 27/03/25 et le 28/03/25,NEUF,0,25/03/2025 23:49:32
E.Leclerc,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 256 Go Noir",Monsieurplus,"1352,99 €",Offerte,Prévue entre le 27/03/25 et le 28/03/25,NEUF,0,25/03/2025 23:49:32
E.Leclerc,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 256 Go Noir",La Boutique du Net,"1466,12 €",Offerte,Prévue entre le 27/03/25 et le 28/03/25,NEUF,0,25/03/2025 23:49:32
E.Leclerc,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 256 Go Noir",Big Hub,"1601,20 €",Offerte,Prévue entre le 27/03/25 et le 28/03/25,NEUF,0,25/03/2025 23:49:32
------------------------------------------------------------------------------------------------------------------------------------
E.Leclerc,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 128 Go Noir",E.Leclerc,"1039,00 €",Offerte,Prévue entre le 27/03/25 et le 28/03/25,NEUF,0,25/03/2025 23:49:43
E.Leclerc,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 128 Go Noir",Stock e-commerce,"1093,35 €",Offerte,Prévue entre le 27/03/25 et le 28/03/25,NEUF,0,25/03/2025 23:49:43
E.Leclerc,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 128 Go Noir",Espace-Disque,"1133,75 €",Offerte,Prévue entre le 27/03/25 et le 28/03/25,NEUF,0,25/03/2025 23:49:43
E.Leclerc,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 128 Go Noir",2KINGS,"1135,98 €",Offerte,Prévue entre le 27/03/25 et le 28/03/25,NEUF,0,25/03/2025 23:49:43
