pfid,idsmartphone,url,timestamp,price,shipcost,rating,ratingnb,offertype,offerdetails,shipcountry,sellercountry
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:38,869.99,14.99,,,UsedCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:38,879.99,0.01,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:38,888.0,0.0,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:38,905.76,0.01,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:38,908.0,0.0,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:38,939.0,0.0,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:38,939.99,0.01,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:38,968.98,0.0,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:38,969.0,0.0,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:38,969.0,0.01,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:38,969.99,0.0,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:38,969.99,0.0,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:38,964.0,9.98,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:38,969.0,5.9,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:38,969.0,10.0,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:38,1026.95,0.0,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:38,1075.1,0.01,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:38,1062.37,18.29,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:38,1111.8,0.0,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:38,1112.41,0.0,,,NewCondition,,,
